CAD_CODE,CATEGORY,Category_Desc,PRIORITY,Priority_Desc,DESCR,AC_BEGIN_DATE,AC_END_DATE,CARD_NAME
10A1,3,MEDICAL,1,ALPHA,BREATHING NORMALLY < 35,2010-01-01,2099-12-31,CHEST PAIN
10C1,3,MEDICAL,3,CHARLIE,ABNORMAL BREATHING,2010-01-01,2099-12-31,CHEST PAIN
10C2,3,MEDICAL,3,CHARLIE,COCAINE,2010-01-01,2099-12-31,CHEST PAIN
10C3,3,MEDICAL,3,CHARLIE,BREATHING NORMALLY >35,2010-01-01,2099-12-31,CHEST PAIN
10C4,3,MEDICAL,3,CHARLIE,BREATHING NORMALLY > 35,2010-01-01,2099-12-31,CHEST PAIN
10D1,3,MEDICAL,4,DELTA,NOT ALERT,2010-01-01,2099-12-31,CHEST PAIN
10D2,3,MEDICAL,4,DELTA,DIFFICULTY SPEAKING BETWEEN BREATHS,2010-01-01,2099-12-31,CHEST PAIN
10D3,3,MEDICAL,4,DELTA,CHANGING COLOR,2010-01-01,2099-12-31,CHEST PAIN
10D4,3,MEDICAL,4,DELTA,CLAMMY OR COLD SWEATS,2010-01-01,2099-12-31,CHEST PAIN
10D5,3,MEDICAL,4,DELTA,HEART ATTACK OR ANGINA HISTORY,2016-09-12,2099-12-31,CHEST PAIN
11A1,3,MEDICAL,1,ALPHA,"NOT CHOKING NOW (CAN TALK,CRY) BREATHING NORMALLY",2010-01-01,2099-12-31,CHOKING
11A1C,3,MEDICAL,1,ALPHA,NOT CHOKING NOW (CAN TALK OR CRY) CANDY/SWEETS/GUM,2016-09-09,2099-12-31,CHOKING
11A1F,3,MEDICAL,1,ALPHA,NOT CHOKING NOW (CAN TALK OR CRY) FOOD,2016-09-09,2099-12-31,CHOKING
11A1M,3,MEDICAL,1,ALPHA,NOT CHOKING NOW (CAN TALK OR CRY) MILK/LIQUID,2016-09-09,2099-12-31,CHOKING
11A1O,3,MEDICAL,1,ALPHA,NOT CHOKING NOW (CAN TALK OR CRY) OBJECT TOY,2016-09-09,2099-12-31,CHOKING
11A1U,3,MEDICAL,1,ALPHA,"NOT CHOKING NOW (CAN TALK,CRY, BREATH) UNKNOWN",2016-09-12,2099-12-31,CHOKING
11D0,3,MEDICAL,4,DELTA,OVERRIDE,2016-09-09,2099-12-31,CHOKING
11D0C,3,MEDICAL,4,DELTA,OVERRIDE - CANDY/SWEETS/GUM,2016-09-09,2099-12-31,CHOKING
11D0F,3,MEDICAL,4,DELTA,OVERRIDE - FOOD,2016-09-09,2099-12-31,CHOKING
11D0M,3,MEDICAL,4,DELTA,OVERRIDE - MILK/LIQUID (NON-TOXIC),2016-09-09,2099-12-31,CHOKING
11D0O,3,MEDICAL,4,DELTA,OVERRIDE - OBJECT/TOY,2016-09-09,2099-12-31,CHOKING
11D0U,3,MEDICAL,4,DELTA,OVERRIDE - UNKNOWN,2016-09-09,2099-12-31,CHOKING
11D1,3,MEDICAL,4,DELTA,ABNORMAL BREATHING (PARTIAL OBSTRUCTION),2010-01-01,2099-12-31,CHOKING
11D1C,3,MEDICAL,4,DELTA,ABNORMAL BREATHING (PARTIAL OBSTRUCTION) - CANDY,2016-09-09,2099-12-31,CHOKING
11D1F,3,MEDICAL,4,DELTA,ABNORMAL BREATHING (PARTIAL OBSTRUCTION) - FOOD,2016-09-09,2099-12-31,CHOKING
11D1M,3,MEDICAL,4,DELTA,ABNORMAL BREATHING (PARTIAL OBSTRUCTION) - MILK,2016-09-09,2099-12-31,CHOKING
11D1O,3,MEDICAL,4,DELTA,ABNORMAL BREATHING (PARTIAL OBSTRUCTION) - OBJECT,2016-09-09,2099-12-31,CHOKING
11D1U,3,MEDICAL,4,DELTA,ABNORMAL BREATHING (PARTIAL OBSTRUCTION) - UNKNOWN,2016-09-09,2099-12-31,CHOKING
11D2,3,MEDICAL,4,DELTA,NOT ALERT,2010-01-01,2099-12-31,CHOKING
11D2C,3,MEDICAL,4,DELTA,NOT ALERT - CANDY/SWEETS/GUM,2016-09-09,2099-12-31,CHOKING
11D2F,3,MEDICAL,4,DELTA,NOT ALERT - FOOD,2016-09-09,2099-12-31,CHOKING
11D2M,3,MEDICAL,4,DELTA,NOT ALERT - MILK/LIQUID (NON-TOXIC),2016-09-09,2099-12-31,CHOKING
11D2O,3,MEDICAL,4,DELTA,NOT ALERT - OBJECT/TOY,2016-09-09,2099-12-31,CHOKING
11D2U,3,MEDICAL,4,DELTA,NOT ALERT - UNKNOWN,2016-09-09,2099-12-31,CHOKING
11E0,3,MEDICAL,5,ECHO,OVERRIDE,2016-09-09,2099-12-31,CHOKING
11E0C,3,MEDICAL,5,ECHO,OVERRIDE - CANDY/SWEETS/GUM,2016-09-09,2099-12-31,CHOKING
11E0F,3,MEDICAL,5,ECHO,OVERRIDE - FOOD,2016-09-09,2099-12-31,CHOKING
11E0M,3,MEDICAL,5,ECHO,OVERRIDE - MILK/LIQUID (NON-TOXIC),2016-09-09,2099-12-31,CHOKING
