FID,BATTALION_,DIVISION_N,FIRSTIN_DI,RFSNUM,AREA_SQMI,BUREAU,SHAPE_Length,SHAPE_Area
1,4,0,67,67,4.40333987,WEST BUREAU,0.245317259100927,122756873.204
2,13,0,33,33,3.29331985,SOUTH BUREAU,0.136627581279203,91418659.6955
3,4,0,62,62,4.07317087,WEST BUREAU,0.259681015541061,113390942.678
4,13,0,21,21,1.97559148,SOUTH BUREAU,0.108273494986846,54887373.0743
5,13,0,66,66,5.32179809,SOUTH BUREAU,0.22629614120204,148554537.117
6,4,0,63,63,3.37809344,WEST BUREAU,0.183761424276946,94361641.6979
7,13,0,46,46,3.12880723,SOUTH BUREAU,0.138886642774216,87486680.8102
8,1,0,14,14,2.40799963,CENTRAL BUREAU,0.119088359644031,66941892.0698
9,18,0,34,34,3.1174345,SOUTH BUREAU,0.144946706357538,86950889.2047
10,13,0,15,15,2.36788117,SOUTH BUREAU,0.122847871166104,65904395.7303
11,1,0,25,25,2.28945403,CENTRAL BUREAU,0.116808757650679,63821255.0414
12,18,0,94,94,3.87783719,SOUTH BUREAU,0.19840051611564,108341763.568
13,2,0,55,55,2.89648894,CENTRAL BUREAU,0.158046059269169,80764068.6813
14,5,0,82,82,3.88031958,WEST BUREAU,0.150023999581385,108295412.582
15,2,0,12,12,3.73477483,CENTRAL BUREAU,0.164567946557999,104123267.614
16,14,0,108,108,3.11568342,VALLEY BUREAU,0.228054647227115,86858789.9744
17,14,0,97,97,3.72760327,VALLEY BUREAU,0.18026314799989,103919684.579
18,5,0,35,35,4.05949633,WEST BUREAU,0.213126237957657,113213151.642
19,10,0,99,99,5.07160249,VALLEY BUREAU,0.206514940589694,141389320.132
20,10,0,109,109,12.76322295,VALLEY BUREAU,0.365676472144313,355816550.241
21,2,0,42,42,3.02409945,CENTRAL BUREAU,0.150340657240429,84306379.1982
22,2,0,50,50,3.30260349,CENTRAL BUREAU,0.237512235176704,91976568.4766
23,5,0,76,76,4.6205495,WEST BUREAU,0.235733550634614,129112403.802
24,14,0,86,86,3.31339885,VALLEY BUREAU,0.164278299489803,92303484.5597
25,5,0,56,56,6.85102334,WEST BUREAU,0.289022986644174,190878278.891
26,14,0,78,78,4.69209311,VALLEY BUREAU,0.211863460604933,130807779.499
27,10,0,88,88,5.83476969,VALLEY BUREAU,0.203496585713153,162460953.963
28,10,0,83,83,6.29539302,VALLEY BUREAU,0.189892257785345,175570145.889
29,13,0,64,64,5.1776426,SOUTH BUREAU,0.210599361091981,144202672.09
30,4,0,51,51,4.55317121,WEST BUREAU,0.190373082204896,127026668.424
31,13,0,65,65,2.61469947,SOUTH BUREAU,0.152759971400792,72893087.3167
32,4,0,95,95,2.45768129,WEST BUREAU,0.153907518682505,68326440.8832
33,13,0,57,57,4.0297884,SOUTH BUREAU,0.182468964176486,112672426.426
34,4,0,5,5,4.33298008,WEST BUREAU,0.245832419894259,120905716.183
35,18,0,43,43,2.35239822,SOUTH BUREAU,0.120649205193495,65579086.0714
36,1,0,17,17,2.3437365,CENTRAL BUREAU,0.131802395496975,65347370.9316
37,1,0,10,10,2.02297383,CENTRAL BUREAU,0.12171014652285,56397558.4183
38,9,0,59,59,3.06401688,WEST BUREAU,0.140970390592932,85424452.2042
39,1,0,9,9,1.28369893,CENTRAL BUREAU,0.0989750530499032,35787922.1471
40,11,0,26,26,2.3313048,CENTRAL BUREAU,0.125490873130048,64956527.8857
41,9,0,37,37,3.73176707,WEST BUREAU,0.253554221909966,104200116.453
42,18,0,68,68,3.88918455,SOUTH BUREAU,0.158528951033071,108652880.147
43,17,0,84,84,7.28154582,VALLEY BUREAU,0.224604873204667,203015995.535
44,17,0,93,93,9.32190055,VALLEY BUREAU,0.207735172975253,260047292.281
45,14,0,60,60,4.76732214,VALLEY BUREAU,0.172305554085922,132867073.914
46,14,0,102,102,4.47353322,VALLEY BUREAU,0.167283997519991,124839212.998
47,10,0,39,39,5.36825795,VALLEY BUREAU,0.180746463531062,149266504.94
48,17,0,105,105,9.38033363,VALLEY BUREAU,0.28473325415391,261566867.172
49,17,0,72,72,5.12145365,VALLEY BUREAU,0.177792123850629,143129582.841
50,10,0,100,100,5.21309095,VALLEY BUREAU,0.205998823320692,145304449.042
51,17,0,73,73,4.35478571,VALLEY BUREAU,0.161610437866867,121630216.759
52,10,0,81,81,3.58118766,VALLEY BUREAU,0.13325560101518,99978592.1859
53,14,0,89,89,8.21275017,VALLEY BUREAU,0.228574580766763,229187775.192
54,17,0,104,104,4.26819499,VALLEY BUREAU,0.169067146024097,119513481.441
55,17,0,106,106,6.34171724,VALLEY BUREAU,0.220185563835862,176557225.166
56,10,0,90,90,5.4255069,VALLEY BUREAU,0.179928262852076,151026335.548
57,15,0,103,103,4.22597113,VALLEY BUREAU,0.167364395168935,117574499.824
58,12,0,77,77,14.36217719,VALLEY BUREAU,0.337878383487433,400309405.796
59,15,0,87,87,5.75307886,VALLEY BUREAU,0.187494619279262,160448717.43
60,15,0,70,70,4.54585637,VALLEY BUREAU,0.177513478812859,126616070.024
61,15,0,107,107,4.56683334,VALLEY BUREAU,0.154041172194403,127315523.353
62,15,0,96,96,8.05269862,VALLEY BUREAU,0.203185959589344,224532394.515
63,12,0,74,74,12.20009719,VALLEY BUREAU,0.301633881175531,339582507.324
64,12,0,24,24,7.78379223,VALLEY BUREAU,0.269696164617284,217367599.066
65,12,0,7,7,6.660418,VALLEY BUREAU,0.180866775855823,185714623.515
66,15,0,8,8,3.95753292,VALLEY BUREAU,0.151523802792206,110146867.297
