"Date","Fire District Number","Fire Station Latitude","Fire Station Longitude","Count of EMS Incidents"
01/01/2018,1,34.075138,-118.218304,11
01/01/2018,2,34.049176,-118.213776,10
01/01/2018,3,34.058512,-118.252009,12
01/01/2018,4,34.050171,-118.236079,14
01/01/2018,5,33.955648,-118.403671,8
01/01/2018,6,34.077083,-118.286542,18
01/01/2018,7,34.242387,-118.45144,23
01/01/2018,8,34.276802,-118.558918,2
01/01/2018,9,34.041237,-118.247897,59
01/01/2018,10,34.03737,-118.264039,15
01/01/2018,11,34.055435,-118.273842,33
01/01/2018,12,34.110918,-118.190742,15
01/01/2018,13,34.047518,-118.289378,21
01/01/2018,14,34.012746,-118.25685,20
01/01/2018,15,34.026955,-118.283602,18
01/01/2018,16,34.066176,-118.180583,1
01/01/2018,17,34.025733,-118.230359,4
01/01/2018,18,34.289601,-118.501397,2
01/01/2018,19,34.058696,-118.478662,14
01/01/2018,20,34.077198,-118.265406,15
01/01/2018,21,33.996906,-118.254873,13
01/01/2018,23,34.042531,-118.55426,2
01/01/2018,24,34.264014,-118.337038,3
01/01/2018,25,34.031062,-118.207588,7
01/01/2018,26,34.038749,-118.309323,15
01/01/2018,27,34.095627,-118.330162,30
01/01/2018,28,34.281268,-118.569672,2
01/01/2018,29,34.061981,-118.315352,16
01/01/2018,33,33.981331,-118.273589,28
01/01/2018,34,34.021229,-118.325112,15
01/01/2018,35,34.100218,-118.287747,21
01/01/2018,36,33.753086,-118.293442,7
01/01/2018,37,34.059994,-118.449106,9
01/01/2018,38,33.781007,-118.261696,9
01/01/2018,39,34.179692,-118.45123,19
01/01/2018,41,34.096906,-118.353152,17
01/01/2018,42,34.139484,-118.210732,7
01/01/2018,43,34.023085,-118.405545,11
01/01/2018,44,34.096851,-118.230978,4
01/01/2018,46,34.004251,-118.286789,34
01/01/2018,47,34.085462,-118.186955,2
01/01/2018,48,33.729689,-118.290499,9
01/01/2018,50,34.115339,-118.244565,5
01/01/2018,51,33.940485,-118.39719,14
01/01/2018,52,34.08375,-118.308475,15
01/01/2018,55,34.124161,-118.219367,9
01/01/2018,56,34.107571,-118.263623,6
01/01/2018,57,33.968768,-118.291206,53
01/01/2018,58,34.0507,-118.383968,18
01/01/2018,59,34.036674,-118.444383,6
01/01/2018,60,34.167502,-118.378611,16
01/01/2018,61,34.069412,-118.347084,22
01/01/2018,62,34.00588,-118.428172,9
01/01/2018,63,33.991125,-118.458376,12
01/01/2018,64,33.938031,-118.274328,39
01/01/2018,65,33.946056,-118.24026,20
01/01/2018,66,33.989419,-118.311565,49
01/01/2018,67,33.974214,-118.428497,6
01/01/2018,68,34.041026,-118.349247,16
01/01/2018,69,34.044571,-118.5219,3
01/01/2018,70,34.24943,-118.536421,11
01/01/2018,71,34.080521,-118.435531,4
01/01/2018,72,34.193951,-118.588767,15
01/01/2018,73,34.20514,-118.536378,8
01/01/2018,74,34.258651,-118.301788,12
01/01/2018,75,34.272461,-118.466578,6
01/01/2018,76,34.126695,-118.345813,2
01/01/2018,77,34.236294,-118.366945,11
01/01/2018,78,34.144448,-118.405751,9
01/01/2018,79,33.868443,-118.290297,5
01/01/2018,81,34.213341,-118.44427,10
01/01/2018,82,34.102046,-118.315456,14
01/01/2018,83,34.161048,-118.500588,6
01/01/2018,84,34.172778,-118.591467,7
01/01/2018,85,33.795022,-118.300029,11
01/01/2018,86,34.150324,-118.370214,3
01/01/2018,87,34.254726,-118.50172,12
01/01/2018,88,34.163057,-118.466493,15
01/01/2018,89,34.199116,-118.396805,30
01/01/2018,90,34.214381,-118.48401,11
01/01/2018,91,34.309405,-118.447217,16
01/01/2018,92,34.044045,-118.420373,12
01/01/2018,93,34.17282,-118.548836,13
01/01/2018,94,34.017567,-118.345386,30
01/01/2018,95,33.94533,-118.381234,4
01/01/2018,96,34.247355,-118.603049,9
01/01/2018,97,34.125457,-118.374588,2
01/01/2018,98,34.270067,-118.417144,19
01/01/2018,100,34.192901,-118.510023,13
01/01/2018,101,33.721922,-118.310281,4
01/01/2018,102,34.17187,-118.421358,23
01/01/2018,104,34.221588,-118.57141,7
01/01/2018,105,34.185444,-118.623688,15
01/01/2018,106,34.219043,-118.627915,8
01/01/2018,107,34.257526,-118.573476,10
01/01/2018,109,34.130684,-118.492642,4
01/01/2018,112,33.740556,-118.278302,3
01/02/2018,1,34.075138,-118.218304,11
01/02/2018,2,34.049176,-118.213776,14
01/02/2018,3,34.058512,-118.252009,12
01/02/2018,4,34.050171,-118.236079,14
01/02/2018,5,33.955648,-118.403671,7
01/02/2018,6,34.077083,-118.286542,9
01/02/2018,7,34.242387,-118.45144,21
01/02/2018,8,34.276802,-118.558918,5
01/02/2018,9,34.041237,-118.247897,54
01/02/2018,10,34.03737,-118.264039,12
01/02/2018,11,34.055435,-118.273842,20
