City,Access Status,Data Access,Notes/Online Link
New York City,Pending,FOIA request,[Only up to Dec 2019] https://data.cityofnewyork.us/Public-Safety/EMS-Incident-Dispatch-Data/76xm-jjuj/data
New Orleans,Assigned,FOIA request,
Seattle,Fulfilled,Open Data Portal,https://data.seattle.gov/Public-Safety/Seattle-Real-Time-Fire-911-Calls/kzjm-xkqj
San Diego,Fulfilled,FOIA request,
Los Angeles,Fulfilled,FOIA request,
Detroit,Fulfilled,Open Data Portal,https://data.detroitmi.gov/datasets/911-calls-for-service/data?geometry=-85.378%2C42.028%2C-81.465%2C42.738&page=290083
Miami,Denied,FOIA request,They said they don't have the data
Atlanta,No Response Yet,FOIA request,
Nashville,Stalled (Requested TN drivers license),FOIA request,
Chicago,Fulfilled,FOIA request,
Boston,Fulfilled,FOIA request,Only monthly counts
Baltimore,No Response Yet,FOIA request,
Philadelphia,No Response Yet,FOIA request,
Phoenix,No Response Yet,FOIA request,
Dallas,Pending,FOIA request,
Kansas City,No Response Yet,FOIA request,
Portland,TBD,???, Police calls at https://www.portlandoregon.gov/police/76454 but EMS not included
Sacramento,Assigned,FOIA request,
Lincoln ,Fulfilled,FOIA request,
San Fransisco,Fulfilled,Open Data Portal,https://data.sfgov.org/Public-Safety/Fire-Department-Calls-for-Service/nuek-vuh3
